sensor_id,latitude,longitude,outage
9B:02:0C:10:6A:80,32.978,-96.622,no
53:FD:0B:10:6A:80,32.65,-97.381,no
1D:6D:75:40:EE:C0,32.907,-96.644,no
A3:52:0C:10:6A:80,32.87,-97.3,no
31:5A:03:10:6A:80,32.7,-97.172,no
1B:31:06:10:6A:80,32.865,-96.646,no
75:E0:06:10:6A:80,33.633,-96.654,no
7B:C0:02:10:6A:80,32.638,-97.162,no
A1:F5:0C:10:6A:80,33.033,-96.549,no
89:E7:74:40:EE:C0,32.7,-97.175,no
49:1C:0C:10:6A:80,33.066,-96.672,no
5F:F9:74:40:EE:C0,32.203,-95.295,no
CF:22:0C:10:6A:80,32.947,-96.857,no
4F:AA:04:10:6A:80,33.076,-96.672,no
B7:BD:03:10:6A:80,33.825,-96.688,no
71:FD:0B:10:6A:80,32.906,-96.746,no
DD:50:05:10:6A:80,32.851,-97.372,no
F3:E9:73:40:EE:C0,32.768,-97.192,no
F7:C6:0B:10:6A:80,32.667,-96.992,no
1F:60:0B:10:6A:80,32.911,-96.715,no
31:95:0A:10:6A:80,32.898,-97.279,no
47:73:0B:10:6A:80,32.924,-96.967,no
CF:A5:0A:10:6A:80,33.171,-96.689,no
BB:58:09:10:6A:80,33.05,-97.002,no
83:63:0C:10:6A:80,32.912,-96.55,no
45:4D:73:40:EE:C0,32.936,-97.084,no
19:60:09:10:6A:80,32.979,-96.876,no
35:85:75:40:EE:C0,33.815,-98.384,no
05:7E:0B:10:6A:80,32.95,-96.474,no
27:FE:74:40:EE:C0,32.929,-96.712,no
A5:FA:09:10:6A:80,32.865,-96.637,no
29:8F:74:40:EE:C0,33.021,-96.655,no
4D:6B:75:40:EE:C0,32.121,-95.489,no
9B:D9:09:10:6A:80,32.823,-97.008,no
B5:FC:05:10:6A:80,32.74,-97.202,no
31:5E:03:10:6A:80,32.71,-97.382,no
17:D6:02:10:6A:80,32.836,-97.147,no
2D:1F:0C:10:6A:80,32.826,-97.073,no
A7:87:75:40:EE:C0,32.953,-96.675,no
4F:19:06:10:6A:80,32.658,-96.914,no
6D:D4:03:10:6A:80,32.835,-96.784,no
BF:67:75:40:EE:C0,32.73,-97.168,no
D3:88:09:10:6A:80,32.823,-97.008,no
CD:7C:0A:10:6A:80,33.034,-96.787,no
25:4B:73:40:EE:C0,32.959,-96.953,no
07:B3:0C:10:6A:80,33.031,-96.821,no
AF:C0:02:10:6A:80,32.959,-97.0,no
1D:E4:74:40:EE:C0,33.084,-96.655,no
1F:66:75:40:EE:C0,33.12,-96.772,no
F7:FE:01:10:6A:80,32.804,-96.612,no
AD:8E:75:40:EE:C0,32.958,-96.95,no
4B:47:0C:10:6A:80,32.632,-97.359,no
97:99:0A:10:6A:80,32.949,-96.87,no
E1:16:0C:10:6A:80,32.939,-96.721,no
DB:53:05:10:6A:80,32.86,-96.961,no
DD:CF:09:10:6A:80,32.932,-96.732,no
D7:38:0C:10:6A:80,33.026,-96.671,no
3F:65:75:40:EE:C0,33.024,-96.679,no
2F:9F:0C:10:6A:80,32.61,-96.878,no
73:52:05:10:6A:80,32.93,-97.235,no
65:58:03:10:6A:80,33.043,-96.774,no
59:FE:0B:10:6A:80,32.858,-97.088,no
71:EA:0B:10:6A:80,32.898,-97.253,no
39:1B:0C:10:6A:80,32.869,-97.194,no
75:79:02:10:6A:80,32.642,-97.141,no
B9:22:0C:10:6A:80,32.047,-96.549,no
CB:66:75:40:EE:C0,32.849,-97.107,no
5F:B1:07:10:6A:80,32.923,-97.222,no
7B:2E:06:10:6A:80,33.008,-96.62,no
95:9A:0A:10:6A:80,33.03,-96.875,no
33:4D:09:10:6A:80,32.721,-97.271,no
F5:7E:0B:10:6A:80,33.028,-96.677,no
FF:8E:09:10:6A:80,32.914,-96.794,no
AF:88:0A:10:6A:80,32.905,-97.144,no
23:36:03:10:6A:80,32.737,-97.192,no
45:82:75:40:EE:C0,32.805,-96.74,no
07:44:03:10:6A:80,33.729,-95.391,no
B9:A4:09:10:6A:80,32.846,-96.635,no
49:12:09:10:6A:80,32.931,-96.517,no
2D:13:05:10:6A:80,32.991,-96.916,no
51:D6:01:10:6A:80,32.902,-96.861,no
21:92:73:40:EE:C0,33.085,-96.826,no
A3:68:75:40:EE:C0,33.035,-96.677,no
05:02:05:10:6A:80,33.051,-96.309,no
